MSOA,Total_Population,Total_Households,Total_Population_16_and_over,Total_Population_16_to_74,Total_Employment_16_to_74,Total_Population_in_Households_16_and_over,Age_0_to_4,Age_5_to_9,Age_10_to_14,Age_15_to_19,Age_20_to_24,Age_25_to_29,Age_30_to_44,Age_45_to_59,Age_60_to_64,Age_65_to_74,Age_75_to_84,Age_85_to_89,Age_90_and_over,White_British_and_Irish,White_Other_White,Mixed_or_multiple_ethnic_group,Asian_or_Asian_British_Indian,Asian_or_Asian_British_Pakistani,Asian_or_Asian_British_Bangladeshi,Asian_or_Asian_British_Chinese,Asian_or_Asian_British_Other_Asian,Black_or_African_or_Caribbean_or_Black_British_African,Arab_or_Other_Ethnic_Groups,Christian,Other_religion,No_religion,Religion_not_stated,Main_language_is_English_or_Main_language_not_English__Can_speak_English_very_well,Main_language_is_not_English__Can_speak_English_well,Main_language_is_not_English__Cannot_speak_English_well,Main_language_is_not_English__Cannot_speak_English,All_household_members_have_the_same_ethnic_group,Different_ethnic_groups_between_the_generations_only,Different_ethnic_groups_within_partnerships_(whether_or_not_different_ethnic_groups_between_generations),Any_other_combination_of_multiple_ethnic_groups,Owned_and_Shared_Ownership,Social_rented,Private_rented,Living_rent_free,Very_good_health,Good_health,Fair_health,Bad_health,Very_bad_health,No_qualifications,Highest_level_of_qualification_Level_1_Level_2_or_Apprenticeship,Highest_level_of_qualification_Level_3_qualifications,Highest_level_of_qualification_Level_4_qualifications_and_above,Schoolchildren_and_fulltime_students_Age_16_and_over,No_cars_or_vans_in_household,1_car_or_van_in_household,2_or_more_cars_or_vans_in_household,Work_mainly_at_or_from_home,Public_Transport,Private_Transport,On_foot_Bicycle_or_Other,Managers_directors_and_senior_officials,Professional_occupations,Associate_professional_and_technical_occupations,Administrative_and_secretarial_occupations,Skilled_trades_occupations,Caring_leisure_and_other_service_occupations,Sales_and_customer_service_occupations,Process_plant_and_machine_operatives,Elementary_occupations,Median_House_Price_201415,Average_Annual_Income_201516,Number_Births_201617
E02000001,7375,4385,6755,6307,4747,6595,236,182,169,197,545,956,2045,1547,463,587,331,75,42,4423,1376,289,216,16,232,263,213,193,154,3344,858,2522,651,6806,305,89,12,1199,94,461,159,1868,725,1573,219,4112,2374,643,190,56,454,783,484,4618,491,3043,1100,242,436,1512,182,2617,845,1894,1097,335,114,128,109,52,173,816350,79700,68
E02000002,6775,2713,5024,4360,2470,4973,628,586,446,434,424,510,1388,999,259,437,419,156,89,4003,400,330,270,178,147,44,181,1133,89,3975,949,1417,434,5933,303,128,24,1475,201,159,64,1277,1133,269,34,2933,2288,1059,389,106,1623,1613,479,914,435,1020,1186,507,61,1000,1234,175,162,336,229,323,310,302,261,218,329,240000,38600,136
E02000003,10045,3834,7798,7149,4520,7786,833,673,620,617,689,774,2300,1804,455,631,449,142,58,4883,603,433,812,562,489,76,345,1618,224,5475,2379,1514,677,8656,631,225,36,2133,242,276,144,2535,446,830,23,4566,3633,1325,406,115,1778,2615,847,1829,668,1196,1753,885,122,2035,2010,353,390,696,517,714,503,438,408,346,508,250000,46400,184
E02000004,6182,2318,4986,4438,2847,4741,365,335,408,491,455,419,1154,1233,310,464,364,119,65,4792,214,186,47,41,60,38,127,649,28,4070,340,1373,399,5759,158,42,5,1451,83,142,33,1703,371,228,16,2857,2086,861,302,76,1502,1788,539,891,400,556,1085,677,72,1017,1506,252,214,386,345,470,385,270,241,256,280,252500,45300,98
E02000005,8562,3183,6362,5933,3582,6362,796,631,635,628,533,569,1995,1474,355,517,306,88,35,5132,542,313,301,239,264,41,205,1445,80,4986,1142,1816,618,7454,442,180,30,1899,187,191,98,1875,793,482,33,4089,2811,1134,412,116,1839,2224,653,1119,565,1080,1423,680,81,1499,1718,284,244,415,286,516,495,434,342,361,489,240000,41000,179
E02000007,8791,3441,6403,5798,3312,6284,909,721,644,628,616,635,1867,1417,319,430,384,141,80,5353,553,307,71,98,138,43,176,1997,55,5409,722,2148,512,7705,370,145,27,1918,242,143,74,1411,1663,333,34,3996,3015,1252,407,121,2057,2232,556,1129,641,1496,1444,501,67,1481,1491,273,178,488,254,401,381,430,318,341,521,226250,36200,170
E02000008,11569,4591,8627,7906,4542,8622,1182,824,781,800,731,803,2662,1979,425,661,503,149,69,7213,844,478,189,212,201,57,224,2010,141,7015,1121,2680,753,10034,539,229,48,2557,314,215,107,2148,1762,641,40,5262,3846,1598,642,221,2787,2940,796,1401,755,1776,2063,752,87,1961,2147,347,295,518,414,601,556,577,389,480,712,220000,35600,207
E02000009,8395,3212,6333,5947,3487,6314,817,568,554,626,599,651,2046,1461,282,405,266,81,39,4440,696,366,263,364,235,65,293,1581,92,4743,1373,1728,551,7029,568,235,48,1761,210,221,123,1554,982,619,57,3911,2796,1094,457,137,1841,2085,562,1240,668,1192,1490,530,63,1599,1584,241,211,467,273,451,440,379,344,320,602,218500,37800,253
E02000010,8615,3292,6280,5832,3424,6280,910,678,634,626,534,590,2007,1472,276,440,317,97,34,5330,632,280,93,80,213,56,196,1641,94,5279,721,2067,548,7454,434,164,19,1949,213,135,94,1553,1195,517,27,4045,2906,1091,433,140,1951,2127,596,1091,589,1281,1449,562,53,1629,1464,278,194,418,276,429,460,423,317,341,566,225000,39500,166
E02000011,6187,2289,4800,4372,2766,4699,515,396,394,459,426,384,1276,1192,305,412,300,92,36,3665,441,202,168,63,230,48,173,1146,51,4006,695,1119,367,5377,325,133,20,1406,125,128,55,1533,289,440,27,2896,2151,808,244,88,1375,1660,448,938,468,668,1112,509,75,1312,1151,228,193,352,268,437,369,292,235,244,376,238000,43500,123
E02000012,9888,3258,7584,6965,4240,7575,777,692,680,759,798,804,2091,1709,407,552,422,133,64,3695,645,427,835,920,1761,93,332,969,211,4307,4001,1012,568,8130,797,413,74,1906,191,234,136,2266,475,476,41,4845,3409,1174,346,114,1726,2322,828,1881,911,873,1463,922,130,2015,1793,302,413,659,495,623,431,381,398,407,433,325000,50800,173
E02000013,8402,3125,6053,5613,3306,6047,889,725,609,586,471,581,1963,1363,337,438,314,96,30,5112,678,374,141,123,161,45,187,1492,89,5077,766,1937,622,7296,444,179,27,1813,224,146,84,1476,1181,435,33,3825,2849,1159,444,125,1891,2086,515,1037,569,1157,1414,554,61,1475,1522,248,197,369,257,444,434,392,340,337,536,232000,39100,141
E02000014,9402,3531,6950,6421,3779,6867,923,737,671,657,585,685,2066,1618,422,509,358,123,48,5888,739,362,97,88,219,75,151,1650,133,5734,787,2208,673,8128,501,204,28,2126,205,181,92,1564,1413,527,27,4276,3207,1291,485,143,2280,2330,579,1151,597,1419,1550,562,64,1772,1584,359,213,395,308,438,509,508,357,405,646,225000,38100,157
E02000015,7563,3170,5585,5191,2883,5571,777,544,535,569,553,600,1740,1219,269,363,287,64,43,4339,447,343,100,53,107,48,121,1913,92,4633,652,1765,513,6557,373,147,14,1595,172,179,84,1040,1604,505,21,3509,2543,1034,357,120,1702,1962,466,1007,557,1534,1255,381,61,1369,1174,279,191,340,210,373,343,382,282,301,461,200000,38800,171
E02000016,7676,2934,5621,5540,3248,5615,955,610,419,437,737,1150,2231,749,152,155,62,14,5,1310,961,437,925,831,465,112,343,2073,219,3148,3282,828,418,5456,1146,412,71,1397,246,227,259,703,1038,1172,21,4038,2681,677,222,58,841,1332,473,2017,977,1877,890,167,69,2208,702,269,239,634,332,320,289,304,345,217,568,175000,41400,268
E02000017,8498,2729,6636,6291,3749,6608,731,538,496,476,826,1050,2061,1311,278,386,275,40,30,1735,922,299,1082,1897,720,64,516,1066,197,3043,4345,657,453,6167,1168,562,120,1461,206,197,271,1573,267,860,29,4141,2914,999,333,111,1324,1733,596,1971,986,1084,1144,501,92,2128,1185,344,282,623,382,399,425,320,412,319,587,234000,49100,179
E02000018,8890,3326,6399,5988,3420,6393,992,700,663,616,641,670,2101,1362,331,403,280,92,39,4892,810,415,140,216,293,56,158,1769,141,5180,1139,2036,535,7470,575,242,40,1873,272,161,135,1335,1405,565,21,4248,2943,1148,401,150,1927,2124,582,1174,632,1421,1387,518,65,1645,1461,249,213,407,298,464,493,400,303,312,530,230000,35800,164
E02000019,8276,3010,6034,5636,3434,5992,884,658,567,601,493,592,2074,1314,330,365,300,75,23,4585,702,324,153,151,224,60,160,1826,91,5034,860,1854,528,7087,457,168,35,1811,195,184,98,1461,1045,472,32,4048,2724,1035,371,98,1738,2037,515,1201,608,1019,1435,556,70,1541,1526,297,203,455,323,429,397,367,337,384,539,225000,40100,148
E02000020,9276,3460,6825,6279,3640,6823,942,763,632,535,661,800,2246,1401,316,434,376,122,48,3441,859,415,560,611,595,86,465,2014,230,4884,2523,1286,583,7248,980,403,62,1758,304,224,193,1535,1260,633,32,4251,3140,1253,456,176,1848,1894,624,1643,809,1494,1499,467,92,1868,1331,349,242,488,342,465,435,371,369,336,592,208000,40700,261
E02000021,7904,2949,5829,5398,3315,5724,809,638,516,526,531,579,1762,1425,303,384,321,71,39,3832,716,322,246,118,189,31,133,2219,98,5052,907,1374,571,6666,489,225,34,1642,242,193,89,1636,565,717,31,3783,2646,1025,342,108,1638,1947,517,1221,618,1106,1316,527,82,1470,1453,310,221,414,276,447,451,359,309,322,516,215000,38800,144
E02000022,8777,3261,5829,5661,3005,5745,1249,892,693,467,632,830,2472,1004,173,197,129,28,11,2139,1216,497,312,485,326,120,236,3149,297,4167,2805,1210,595,6422,1099,442,56,1561,435,203,143,603,2061,563,34,4651,2718,938,374,96,1454,1563,537,1461,772,1874,1208,179,73,1825,816,291,173,410,252,315,285,340,294,277,659,185000,34100,213
E02000023,6482,2431,4445,4227,2406,4445,875,638,446,382,501,575,1659,850,167,171,160,44,14,2443,485,328,125,148,335,22,153,2337,106,3618,1319,1126,419,5238,485,194,30,1217,238,133,112,748,1271,396,16,3283,2028,796,300,75,1107,1458,403,1009,560,1171,1018,242,58,1241,919,188,141,303,204,282,256,311,243,234,432,249995,35400,163
E02000024,10156,4110,8232,7330,5186,8045,631,572,603,560,523,602,2070,2240,645,808,567,211,124,7487,983,384,381,51,41,131,283,242,173,5608,1324,2361,863,9317,331,122,21,2114,139,507,125,3084,214,753,59,5314,3304,1163,283,92,1019,2058,900,3800,636,824,1983,1303,447,1889,2246,604,745,1581,857,569,375,374,281,162,242,490000,63400,121
E02000025,7956,3622,6550,5965,4052,6523,514,423,397,444,442,579,1909,1630,453,580,410,125,50,5367,897,367,301,52,35,125,201,370,241,4233,1057,2011,655,7167,364,89,15,1646,150,380,99,2305,512,763,42,3935,2682,953,292,94,1038,1781,680,2601,508,954,1749,919,255,1549,1964,284,477,1143,609,510,324,348,247,160,234,340000,49900,122
E02000026,6313,2496,5056,4590,3024,5019,418,364,397,346,342,396,1343,1316,382,543,332,96,38,3922,1039,244,300,34,25,77,262,239,171,3491,1248,1069,505,5684,266,93,9,1354,117,260,79,1922,133,404,37,3291,2037,722,205,58,790,1374,542,2003,417,399,1175,922,195,1034,1602,193,423,753,479,411,241,257,169,124,167,480350,54700,93
E02000027,9598,3705,7457,6839,4168,7358,624,669,697,720,598,560,2013,1857,484,758,458,110,50,5848,839,524,405,73,66,160,483,906,294,5385,1591,1806,816,8461,560,183,36,1986,257,361,89,2033,1259,369,44,4514,3281,1257,405,141,1683,2318,758,2118,735,1086,1655,964,208,1485,2111,364,404,831,541,528,444,445,374,233,368,409500,47000,109
E02000028,6166,2473,5004,4540,3194,4945,418,336,339,344,365,480,1381,1216,331,492,326,80,58,3869,747,283,381,70,23,106,233,297,157,3184,1345,1139,498,5485,276,122,23,1303,137,304,98,1787,89,574,23,3217,2053,640,188,68,675,1357,547,2063,388,474,1143,856,247,1193,1540,214,453,811,561,464,249,223,171,95,167,375000,55500,83
E02000029,8517,3513,6685,6210,4195,6675,667,575,499,481,481,610,2042,1688,434,565,337,91,47,5492,894,495,369,59,15,134,328,500,231,4556,1362,1911,688,7592,369,147,19,1760,185,404,110,2247,336,890,40,4284,2900,946,300,87,1117,2026,684,2399,530,922,1637,954,225,1601,2021,348,475,961,680,558,427,389,238,202,265,325000,48200,117
